FPR_Rice,TPR_Rice,FPR_Wheat,TPR_Wheat,FPR_Maize,TPR_Maize,FPR_Potato,TPR_Potato
1,0.963,1,0.976,1,0.992,1,0.969
1,0.963,1,0.976,1,0.992,1,0.969
1,0.963,1,0.976,1,0.992,1,0.969
0.991,0.963,0.996,0.976,1,0.992,1,0.969
0.937,0.963,0.96,0.976,0.992,0.992,1,0.969
0.856,0.963,0.919,0.976,0.972,0.992,0.992,0.969
0.804,0.963,0.897,0.976,0.941,0.992,0.975,0.968
0.744,0.963,0.865,0.976,0.915,0.992,0.956,0.967
0.696,0.963,0.833,0.976,0.887,0.991,0.927,0.967
0.639,0.963,0.805,0.976,0.861,0.991,0.9,0.964
0.6,0.963,0.759,0.976,0.824,0.991,0.873,0.96
0.561,0.963,0.712,0.976,0.791,0.991,0.857,0.955
0.525,0.963,0.665,0.976,0.753,0.991,0.831,0.951
0.493,0.963,0.623,0.976,0.724,0.991,0.812,0.949
0.463,0.963,0.583,0.976,0.689,0.991,0.791,0.945
0.436,0.963,0.571,0.976,0.643,0.991,0.763,0.941
0.413,0.963,0.54,0.976,0.608,0.991,0.741,0.936
0.396,0.963,0.505,0.976,0.567,0.991,0.715,0.935
0.373,0.963,0.469,0.976,0.532,0.991,0.689,0.929
0.356,0.963,0.445,0.976,0.504,0.991,0.667,0.92
0.345,0.963,0.428,0.976,0.475,0.991,0.648,0.916
0.323,0.963,0.407,0.976,0.449,0.991,0.625,0.899
0.307,0.963,0.393,0.976,0.42,0.991,0.603,0.892
0.291,0.963,0.38,0.976,0.393,0.991,0.58,0.881
0.276,0.963,0.357,0.976,0.363,0.991,0.56,0.876
0.26,0.963,0.336,0.976,0.335,0.991,0.536,0.865
0.244,0.963,0.32,0.976,0.323,0.991,0.515,0.852
0.231,0.963,0.308,0.976,0.304,0.991,0.505,0.84
0.211,0.961,0.295,0.975,0.292,0.991,0.492,0.824
0.204,0.961,0.276,0.975,0.281,0.991,0.477,0.811
0.196,0.961,0.269,0.975,0.265,0.991,0.457,0.797
0.187,0.961,0.261,0.975,0.245,0.991,0.441,0.78
0.179,0.961,0.249,0.975,0.233,0.991,0.428,0.763
0.173,0.961,0.24,0.975,0.223,0.989,0.408,0.753
0.161,0.961,0.229,0.975,0.211,0.989,0.395,0.741
0.153,0.96,0.216,0.975,0.201,0.989,0.383,0.731
0.139,0.96,0.201,0.975,0.192,0.989,0.369,0.717
0.128,0.96,0.195,0.975,0.18,0.989,0.359,0.711
0.112,0.96,0.184,0.975,0.171,0.989,0.345,0.695
0.105,0.96,0.176,0.975,0.163,0.988,0.34,0.679
0.104,0.96,0.169,0.973,0.157,0.988,0.327,0.66
0.099,0.96,0.165,0.973,0.151,0.988,0.315,0.652
0.095,0.96,0.157,0.973,0.144,0.988,0.304,0.641
0.092,0.96,0.155,0.973,0.14,0.988,0.297,0.624
0.091,0.96,0.149,0.972,0.133,0.988,0.292,0.609
0.087,0.96,0.147,0.972,0.129,0.988,0.284,0.6
0.081,0.959,0.143,0.971,0.129,0.988,0.265,0.591
0.076,0.959,0.135,0.971,0.127,0.988,0.249,0.585
0.072,0.959,0.132,0.971,0.121,0.988,0.247,0.575
0.067,0.959,0.129,0.969,0.117,0.988,0.235,0.56
0.065,0.959,0.123,0.969,0.113,0.988,0.232,0.544
0.064,0.959,0.119,0.969,0.111,0.985,0.224,0.535
0.061,0.959,0.113,0.968,0.107,0.984,0.221,0.52
0.061,0.959,0.109,0.968,0.104,0.983,0.215,0.503
0.059,0.959,0.107,0.968,0.096,0.983,0.204,0.495
0.056,0.959,0.101,0.967,0.088,0.977,0.201,0.484
0.053,0.955,0.097,0.965,0.087,0.977,0.199,0.476
0.052,0.955,0.097,0.964,0.084,0.976,0.197,0.459
0.048,0.953,0.092,0.964,0.083,0.973,0.195,0.444
0.045,0.953,0.089,0.963,0.079,0.973,0.188,0.439
0.044,0.952,0.088,0.963,0.079,0.968,0.183,0.429
0.043,0.951,0.087,0.96,0.075,0.965,0.181,0.42
0.041,0.949,0.084,0.96,0.072,0.963,0.177,0.409
0.041,0.948,0.081,0.957,0.068,0.963,0.171,0.4
0.041,0.947,0.08,0.957,0.064,0.957,0.164,0.387
0.041,0.944,0.077,0.955,0.061,0.952,0.16,0.38
0.041,0.943,0.076,0.953,0.061,0.948,0.155,0.363
0.041,0.941,0.075,0.951,0.061,0.943,0.148,0.352
0.04,0.939,0.072,0.949,0.059,0.936,0.148,0.344
0.04,0.933,0.071,0.945,0.057,0.932,0.148,0.332
0.04,0.929,0.069,0.944,0.056,0.925,0.145,0.324
0.04,0.928,0.068,0.944,0.056,0.921,0.14,0.315
0.039,0.925,0.065,0.944,0.052,0.917,0.14,0.308
0.039,0.924,0.063,0.937,0.052,0.911,0.137,0.299
0.039,0.919,0.061,0.935,0.052,0.909,0.137,0.288
0.039,0.917,0.061,0.933,0.051,0.904,0.133,0.273
0.039,0.917,0.061,0.928,0.051,0.9,0.132,0.265
0.039,0.911,0.06,0.921,0.049,0.895,0.131,0.257
0.039,0.905,0.059,0.919,0.048,0.893,0.125,0.252
0.039,0.903,0.057,0.912,0.048,0.889,0.121,0.247
0.039,0.899,0.056,0.905,0.047,0.885,0.12,0.239
0.039,0.895,0.055,0.903,0.045,0.877,0.116,0.231
0.039,0.884,0.053,0.899,0.045,0.876,0.115,0.223
0.039,0.88,0.052,0.897,0.044,0.869,0.113,0.213
0.039,0.877,0.052,0.892,0.044,0.867,0.113,0.207
0.039,0.872,0.052,0.891,0.044,0.861,0.111,0.203
0.039,0.864,0.051,0.885,0.044,0.859,0.108,0.196
0.039,0.856,0.051,0.881,0.044,0.856,0.105,0.185
0.037,0.844,0.051,0.875,0.044,0.851,0.105,0.181
0.037,0.835,0.051,0.871,0.044,0.844,0.105,0.175
0.037,0.827,0.049,0.865,0.044,0.839,0.103,0.168
0.035,0.816,0.049,0.856,0.044,0.829,0.101,0.164
0.035,0.807,0.049,0.843,0.044,0.821,0.095,0.163
0.035,0.797,0.049,0.832,0.044,0.812,0.095,0.156
0.035,0.788,0.049,0.824,0.044,0.804,0.092,0.152
0.035,0.777,0.049,0.808,0.044,0.797,0.091,0.144
0.035,0.767,0.048,0.793,0.044,0.793,0.087,0.14
0.035,0.757,0.048,0.779,0.044,0.789,0.085,0.133
0.035,0.749,0.048,0.773,0.044,0.773,0.081,0.132
0.035,0.735,0.047,0.757,0.044,0.765,0.08,0.128
0.035,0.72,0.047,0.745,0.044,0.755,0.077,0.121
0.035,0.713,0.047,0.725,0.044,0.743,0.076,0.119
0.035,0.701,0.047,0.707,0.044,0.727,0.073,0.116
0.035,0.689,0.047,0.684,0.044,0.717,0.071,0.112
0.035,0.676,0.047,0.672,0.044,0.703,0.069,0.111
0.035,0.659,0.047,0.653,0.044,0.691,0.068,0.105
0.035,0.636,0.047,0.629,0.044,0.671,0.068,0.1
0.035,0.62,0.047,0.612,0.044,0.655,0.067,0.095
0.035,0.595,0.047,0.588,0.044,0.632,0.063,0.083
0.035,0.576,0.047,0.569,0.044,0.617,0.063,0.079
0.035,0.56,0.047,0.539,0.044,0.593,0.06,0.069
0.035,0.531,0.047,0.508,0.044,0.572,0.057,0.061
0.033,0.491,0.047,0.468,0.044,0.552,0.056,0.053
0.033,0.471,0.047,0.424,0.044,0.532,0.055,0.043
0.033,0.449,0.047,0.38,0.044,0.507,0.052,0.037
0.033,0.423,0.047,0.336,0.044,0.472,0.047,0.029
0.033,0.391,0.047,0.292,0.044,0.433,0.045,0.027
0.033,0.359,0.047,0.255,0.043,0.392,0.045,0.019
0.033,0.319,0.047,0.188,0.043,0.351,0.044,0.013
0.033,0.277,0.047,0.156,0.043,0.305,0.044,0.007
0.033,0.231,0.047,0.096,0.043,0.251,0.043,0.004
0.033,0.168,0.047,0.063,0.043,0.204,0.04,0
0.033,0.113,0.047,0.025,0.043,0.145,0.035,0
0.033,0.059,0.047,0,0.043,0.067,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
